,Missed Count,Request Number,Date Opened,Request,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,fees
844,9,63273,04/26/18,Trash - Curbside/Alley Missed Pickup,Missed.,1916 s hamilton rd,37218.0,RED RIVER,4204,2.0,1722905.13094539,677672.102459942,1600
845,6,63279,04/26/18,Trash - Curbside/Alley Missed Pickup,Trash - Curbside/Alley Missed Pickup,120 bess ct s,37013.0,RED RIVER,4404,31.0,1764455.5370348,625527.292990392,1000
846,2,63288,04/26/18,Trash - Curbside/Alley Missed Pickup,trash,5115 greentree dr,37211.0,RED RIVER,3401,27.0,1750025.93469904,630033.694645806,200
847,2,63382,04/27/18,Trash - Curbside/Alley Missed Pickup,cart still out didnt come back this is on jupiter dr,1301 saturn dr,37217.0,RED RIVER,1402,13.0,1761433.72951965,651108.797029417,200
848,2,63384,04/27/18,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,116 bess ct s,37013.0,RED RIVER,4404,31.0,1764449.52556502,625590.202578669,200
849,2,63426,04/27/18,Trash - Curbside/Alley Missed Pickup,Missed.,2611 albion st b,37208.0,METRO,9303,21.0,1727286.82645826,667719.245789549,200
850,2,63429,04/27/18,Trash - Curbside/Alley Missed Pickup,missed,3107 nolensville pike,37211.0,METRO,9408,16.0,1749385.93479181,645154.497238788,200
851,4,63438,04/27/18,Trash - Curbside/Alley Missed Pickup,missed pick up,2802 delaware ave,37209.0,METRO,9303,21.0,1726718.44826323,664352.91657623,600
852,6,63561,04/27/18,Trash - Curbside/Alley Missed Pickup,trash,120 bess ct s,37013.0,RED RIVER,4404,31.0,1764455.5370348,625527.292990392,1000
853,2,63581,04/28/18,Trash - Curbside/Alley Missed Pickup,trash,1903 shelby ave,37206.0,METRO,9508,6.0,1750945.93083389,669430.098946814,200
854,2,63683,04/29/18,Trash - Curbside/Alley Missed Pickup,,"208 valley bend dr, nashville, tn 37214, united states",37214.0,RED RIVER,1501,15.0,1765558.75245405,688544.136683724,200
855,4,63778,04/30/18,Trash - Curbside/Alley Missed Pickup,Missed- trash,2769 welshcrest dr,37013.0,RED RIVER,4504,32.0,1777648.85026439,632303.903303712,600
856,2,63792,04/30/18,Trash - Curbside/Alley Missed Pickup,Cart was not fully emptied.,1906 shelby ave b,37206.0,METRO,9508,6.0,1751023.24454166,669281.861569467,200
857,2,63796,04/30/18,Trash - Curbside/Alley Missed Pickup,Trash - Curbside/Alley Missed Pickup,"208 valley bend dr, nashville, tn 37214, united states",37214.0,RED RIVER,1501,15.0,1765560.19264702,688543.398458716,200
858,2,63800,04/30/18,Trash - Curbside/Alley Missed Pickup,missed pick up Friday {Curbside},822 3rd ave s,37210.0,WASTE IND,4507,19.0,1741161.6980924,662939.655048333,200
859,3,63911,04/30/18,Trash - Curbside/Alley Missed Pickup,CART STILL OUT,2202 crestmoor rd,37215.0,RED RIVER,3305,25.0,1728024.31523501,647432.136948514,400
860,3,63926,04/30/18,Trash - Curbside/Alley Missed Pickup,CART STILL OUT,403 mckeige ct,37214.0,RED RIVER,2502,15.0,1770139.23880664,663387.185115854,400
861,2,63966,04/30/18,Trash - Curbside/Alley Missed Pickup,Missed- trash,4820 overcrest dr,37211.0,RED RIVER,2404,26.0,1751466.73629307,634556.894021616,200
862,5,64103,05/01/18,Trash - Curbside/Alley Missed Pickup,missed pickup for the entire street alley was not blocked; missed every week - wants a call 213-361-8133,1425 shelby ave,37206.0,METRO,9508,6.0,1748449.67464523,669716.364615275,800
863,2,64239,05/01/18,Trash - Curbside/Alley Missed Pickup,Trash/Missed pick up. Tuesday Curb. {All trash/carts remove from street}. Check 4338 also missed next door neighbor.,4360 ashland city hwy,37218.0,RED RIVER,3203,1.0,1714515.86703785,683737.757596701,200
864,2,64246,05/01/18,Trash - Curbside/Alley Missed Pickup,Trash/Missed pick up. Tuesday Curb. {All trash/carts remove from street}. check next door 4338.,4360 ashland city hwy,37218.0,N/A,N/A,1.0,1714515.86703785,683737.757596701,200
865,2,64263,05/01/18,Trash - Curbside/Alley Missed Pickup,Missed pick up- caller states this is the 2nd time within weeks that collection truck has just rolled past her cart which sits at the curb. this happens to often,2617 delk ave,37208.0,METRO,9201,21.0,1726277.43273822,672667.833435908,200
866,2,64279,05/01/18,Trash - Curbside/Alley Missed Pickup,trash,2101 stratford ave,37216.0,RED RIVER,1204,7.0,1757179.33583724,680804.301716149,200
867,2,64340,05/01/18,Trash - Curbside/Alley Missed Pickup,missed pick up - entire street again,1607 baptist world center dr,37207.0,RED RIVER,3202,2.0,1736151.60394883,680938.010506779,200
868,2,64342,05/01/18,Trash - Curbside/Alley Missed Pickup,missed trash pickup; cust says it keeps getting missed,1517 rosedale ave,37207.0,METRO,9203,5.0,1745401.87438893,679820.235358459,200
869,5,64344,05/01/18,Trash - Curbside/Alley Missed Pickup,Carts will be in the alley- she would like for us to put the carts over the fence once they are picked up.,1123 n 6th st a,37207.0,METRO,9203,5.0,1744061.65818899,677464.300585816,800
870,9,64348,05/01/18,Trash - Curbside/Alley Missed Pickup,Missed.,1916 s hamilton rd,37218.0,RED RIVER,4204,2.0,1722905.13094539,677672.102459942,1600
871,2,64364,05/02/18,Trash - Curbside/Alley Missed Pickup,trash missed,3405 harvest ct,37013.0,RED RIVER,3502,33.0,1789460.03629179,636739.215816627,200
872,4,64431,05/02/18,Trash - Curbside/Alley Missed Pickup,Missed again.,1368 rosedale ct,37207.0,METRO,9203,5.0,1744702.51273423,678671.610514178,600
873,5,64484,05/02/18,Trash - Curbside/Alley Missed Pickup,others were missed,1209 4th ave n,37208.0,WASTE IND,3208,19.0,1736133.65791127,671738.625523519,800
874,3,64485,05/02/18,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,2700 clarksville pike,37208.0,METRO,9205,2.0,1726445.93194743,675950.503108573,400
875,3,64488,05/02/18,Trash - Curbside/Alley Missed Pickup,Missed. Missed weekly has been going on for awhile,200 errol ln,37209.0,RED RIVER,4203S,20.0,1710731.26032598,667324.915105036,400
876,2,64527,05/02/18,Trash - Curbside/Alley Missed Pickup,trash missed,1601 dr d b todd jr blvd,37208.0,RED RIVER,3206,21.0,1729768.35119348,670950.438690426,200
877,4,64544,05/02/18,Trash - Curbside/Alley Missed Pickup,"Trash/miss again, out night before Wednesday. {Why? is she getting overlook} She's Southlake Ct.",3211 southlake dr,37211.0,RED RIVER,4303,16.0,1752797.77578508,645219.892345174,600
878,2,64551,05/02/18,Trash - Curbside/Alley Missed Pickup,cust says the alley is continuously missed each week; others were missed as well,6014 morrow rd b,37209.0,METRO,9302,20.0,1713983.51033843,667181.742433369,200
879,2,64575,05/02/18,Trash - Curbside/Alley Missed Pickup,Missed,249 blackman rd b,37211.0,RED RIVER,2404,26.0,1750101.13544073,634431.294278411,200
880,7,64650,05/02/18,Trash - Curbside/Alley Missed Pickup,Missed.,2813 delaware ave a,37209.0,METRO,9303,21.0,1726417.93253751,664270.500983901,1200
881,2,64651,05/02/18,Trash - Curbside/Alley Missed Pickup,Missed.,2813 delaware ave b,37209.0,METRO,9303,21.0,1726417.93253751,664270.500983901,200
882,2,64661,05/02/18,Trash - Curbside/Alley Missed Pickup,Missed.,1413 preston dr,37206.0,RED RIVER,1203,7.0,1756878.53679725,677236.302673191,200
883,2,64662,05/02/18,Trash - Curbside/Alley Missed Pickup,missed- trash,229 cana cir,37205.0,RED RIVER,1303,23.0,1706438.05611983,639363.770143338,200
884,9,64689,05/03/18,Trash - Curbside/Alley Missed Pickup,trash,1701 cedar grove rd,37218.0,RED RIVER,4202,2.0,1719741.93056291,678378.501557011,1600
885,3,64694,05/03/18,Trash - Curbside/Alley Missed Pickup,Missed .,6748 currywood dr,37205.0,RED RIVER,1301,23.0,1701850.8775181,651147.203962811,400
886,5,64698,05/03/18,Trash - Curbside/Alley Missed Pickup,CART STILL OUT {CURB},3806 auburn ln,37215.0,RED RIVER,2303S,25.0,1720544.77476623,647782.917839975,800
887,3,64772,05/03/18,Trash - Curbside/Alley Missed Pickup,missed pickup - others missed in area,6007 obrien ave b,37209.0,RED RIVER,4201,20.0,1712803.48238894,662266.583681266,400
888,4,64843,05/03/18,Trash - Curbside/Alley Missed Pickup,missed pick up frequently,111 douglas ave,37207.0,METRO,9207,5.0,1740952.66958541,678376.911107973,600
889,2,64855,05/03/18,Trash - Curbside/Alley Missed Pickup,THIS STREET MISSED ON ONE SIDE,3109 cliff dr,37218.0,RED RIVER,4204,2.0,1723770.13152495,679629.82118072,200
890,5,64870,05/03/18,Trash - Curbside/Alley Missed Pickup,missed this cart for three weeks,2907 sharon hill cir,37215.0,RED RIVER,2305,25.0,1729913.3984742,652261.897182285,800
891,2,64882,05/03/18,Trash - Curbside/Alley Missed Pickup,Missed entire area.,3220 wingate ave,37211.0,RED RIVER,4304,16.0,1751435.66184034,644616.751713991,200
892,6,64949,05/03/18,Trash - Curbside/Alley Missed Pickup,miss pickup again,1196 vultee blvd,37217.0,RED RIVER,1402,13.0,1760499.10747945,652571.67010011,1000
893,2,64993,05/03/18,Trash - Curbside/Alley Missed Pickup,missed trash pickup,68 ravenwood hills cir,37215.0,RED RIVER,3303S,25.0,1728041.91383861,641001.685859148,200
894,2,65029,05/03/18,Trash - Curbside/Alley Missed Pickup,"Trash/miss Thursday ALLEY, all carts still out in alley full.",323 elberta st,37210.0,WASTE IND,4406,16.0,1747646.4331185,650737.600169671,200
895,2,65217,05/04/18,Trash - Curbside/Alley Missed Pickup,Missed. cart in alley,1214 ordway pl,37206.0,METRO,9501,6.0,1748109.13463216,673079.302287885,200
896,15,65235,05/04/18,Trash - Curbside/Alley Missed Pickup,Missed. 2 carts,3710 n natchez ct,37211.0,RED RIVER,4302,16.0,1751375.66638378,641921.419694096,2800
897,2,65312,05/04/18,Trash - Curbside/Alley Missed Pickup,"cust says she's the last house on the corner of this cul de sac. Driver comes in with a smaller truck and forgets her home. Happens very week. Has to call every time.
notes by G.A. called R/R to see if they could go and emptied cart today? Caller very upset wants cart emptied today.",3604 green garden ct,37013.0,RED RIVER,3503,33.0,1791174.32703109,633462.81260865,200
898,2,65315,05/04/18,Trash - Curbside/Alley Missed Pickup,missed pick up- others missed in area,902 halcyon ave,37204.0,METRO,9403,17.0,1736897.95410282,652197.805743802,200
899,2,65336,05/04/18,Trash - Curbside/Alley Missed Pickup,missed - picked up everyone except her cart,904 village ct,37206.0,METRO,9508,6.0,1748129.32967491,667964.103888995,200
900,8,65342,05/04/18,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,3116 anderson rd,37013.0,RED RIVER,3504,29.0,1786472.58368099,633968.90614485,1400
901,3,65353,05/04/18,Trash - Curbside/Alley Missed Pickup,missed pickup,3401 country way rd,37013.0,RED RIVER,3503,33.0,1790586.30218376,634438.393867793,400
902,2,65354,05/04/18,Trash - Curbside/Alley Missed Pickup,carts still out,3612 burwick pl,37013.0,RED RIVER,3502,33.0,1795254.72278155,638264.352140368,200
903,2,65358,05/04/18,Trash - Curbside/Alley Missed Pickup,missed pick up,3532 thornehill dr,37013.0,RED RIVER,3502,33.0,1790208.34353187,636150.495481616,200
904,2,65582,05/07/18,Trash - Curbside/Alley Missed Pickup,missed entire area,1416 eastland ave,37206.0,METRO,9503,6.0,1749280.13369558,674129.580333858,200
905,3,65696,05/07/18,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013.0,RED RIVER,4502,33.0,1784736.45089935,629101.834831092,400
906,2,65777,05/07/18,Trash - Curbside/Alley Missed Pickup,Trash - Curbside/Alley Missed Pickup,929 cahal ave,37206.0,METRO,9503,5.0,1748399.51615526,679400.417373145,200
907,6,65853,05/07/18,Trash - Curbside/Alley Missed Pickup,missed trash pickup,5159 hickory hollow pkwy,37013.0,RED RIVER,4504,32.0,1772084.85499488,625515.514750204,1000
908,3,65852,05/07/18,Trash - Curbside/Alley Missed Pickup,,"625 8th ave s, nashville, tn 37203, united states",37219.0,METRO,9405,19.0,1737662.53651961,666935.503031823,400
909,2,65997,05/08/18,Trash - Curbside/Alley Missed Pickup,missed pick up - may have overlfow due to missed pick up,622 shelby ave,37206.0,METRO,9508,6.0,1744657.01323497,668991.928902872,200
910,2,66181,05/08/18,Trash - Curbside/Alley Missed Pickup,,"1511 10th ave n, nashville, tn 37208, united states",37208.0,WASTE IND,3208,19.0,1732893.3734923,671871.176862199,200
911,4,66184,05/08/18,Trash - Curbside/Alley Missed Pickup,CART STAYS ON ALLEY,1124 n 7th st,37207.0,METRO,9203,5.0,1744300.21652617,677404.199699383,600
912,9,66200,05/08/18,Trash - Curbside/Alley Missed Pickup,Missed.,1916 s hamilton rd,37218.0,RED RIVER,4204,2.0,1722905.17331175,677672.881016307,1600
913,4,66208,05/08/18,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,3231 lincoln ave,37218.0,RED RIVER,4204,2.0,1723370.73289631,681293.702122459,600
914,2,66314,05/09/18,Trash - Curbside/Alley Missed Pickup,"Trash has not been emptied in 2 weeks, using brown cart. curbside.",2640 delk ave,37208.0,METRO,9201,21.0,1725953.13195331,673400.102576842,200
915,3,66321,05/09/18,Trash - Curbside/Alley Missed Pickup,cart still out,1700 scovel st,37208.0,RED RIVER,3206,21.0,1730921.78556551,669968.014599712,400
916,2,66326,05/09/18,Trash - Curbside/Alley Missed Pickup,Missed trash pickuip,2640 combs dr,37207.0,WASTE IND,2206,2.0,1735356.0257704,686186.765365817,200
917,2,66341,05/09/18,Trash - Curbside/Alley Missed Pickup,Missed,129 e fairview dr,37218.0,RED RIVER,3204,1.0,1721855.8168716,684698.849305423,200
918,15,66390,05/09/18,Trash - Curbside/Alley Missed Pickup,cust says nobody picked it up yesterday,3710 n natchez ct,37211.0,RED RIVER,4302,16.0,1751375.66638378,641921.419694096,2800
919,2,66396,05/09/18,Trash - Curbside/Alley Missed Pickup,Missed. 3 carts including neighbor from across the street. all were missed,1807 26th ave n,37208.0,METRO,9201,21.0,1726583.43788514,673574.737941716,200
920,2,66401,05/09/18,Trash - Curbside/Alley Missed Pickup,Missed.,3257 panorama dr,37218.0,RED RIVER,4204,1.0,1719854.26130613,674630.038278586,200
921,2,66496,05/09/18,Trash - Curbside/Alley Missed Pickup,missed pick up,1102 dew st,37206.0,WASTE IND,4508,6.0,1746789.5280637,667974.359680332,200
922,7,66522,05/09/18,Trash - Curbside/Alley Missed Pickup,others on the street were missed,2813 delaware ave a,37209.0,N/A,N/A,21.0,1726416.6338896,664271.71307337,1200
923,4,66544,05/09/18,Trash - Curbside/Alley Missed Pickup,"Almost every week we go through the same thing. When will someone fix this so I don't have to fill out this form all the time. Just pick up the trash. It is simple.
I watched him pull two trash bags out of the trash can, set one back in the can and the haul one to the truck. What is wrong with these guys?",1921 19th ave s,37212.0,METRO,9308,18.0,1732632.33358843,656364.098875729,600
924,2,66622,05/10/18,Trash - Curbside/Alley Missed Pickup,Not sure why trash was not picked up. Truck was in neighborhood.,1307 hildreth dr,37215.0,N/A,N/A,34.0,1728443.65532175,637373.352481222,200
925,5,66639,05/10/18,Trash - Curbside/Alley Missed Pickup,others were missed,1209 4th ave n,37208.0,WASTE IND,3208,19.0,1736133.65791127,671738.625523519,800
926,4,66693,05/10/18,Trash - Curbside/Alley Missed Pickup,Missed. Continues to be missed,3211 southlake dr,37211.0,RED RIVER,4303,16.0,1752797.77578508,645219.892345174,600
927,2,66712,05/10/18,Trash - Curbside/Alley Missed Pickup,Missed pick up,2414 albion st,37208.0,METRO,9303,21.0,1728350.89697256,667977.581054362,200
928,2,66760,05/10/18,Trash - Curbside/Alley Missed Pickup,Missed.,3906 estes rd,37215.0,RED RIVER,3304,34.0,1721279.70211542,647365.254427301,200
929,2,66823,05/10/18,Trash - Curbside/Alley Missed Pickup,MISSED,5300 hickory park dr,37013.0,RED RIVER,4405,32.0,1770318.79909187,623612.744574672,200
930,3,66844,05/10/18,Trash - Curbside/Alley Missed Pickup,missed pick up,610 brook hollow rd,37205.0,RED RIVER,1301,23.0,1706112.45942035,648216.110164795,400
931,2,66898,05/11/18,Trash - Curbside/Alley Missed Pickup,Curb Trash miss pick up Thursday.,3900 e ridge dr,37211.0,RED RIVER,3405,30.0,1762043.31124074,632724.957112701,200
932,2,66947,05/11/18,Trash - Curbside/Alley Missed Pickup,"Missed Trash Thursday, trucks fly so fast and skipping people's home. Curb",417 northcrest dr,37211.0,RED RIVER,2405,27.0,1755615.94232884,631592.653892335,200
933,2,66958,05/11/18,Trash - Curbside/Alley Missed Pickup,missed trash pickup,1029 3rd ave s,37210.0,N/A,N/A,17.0,1741885.07728533,661374.510255033,200
934,2,66984,05/11/18,Trash - Curbside/Alley Missed Pickup,"Curb/Trash miss Wednesday. Wants cart emptied today not have to wait when she'd called in two day's ago, but nothing was put in HUB.",4599 lealand ln,37220.0,RED RIVER,3302,34.0,1734687.37747738,639612.48397301,200
935,12,66993,05/11/18,Trash - Curbside/Alley Missed Pickup,Two trash/carts needs to be empty. Curb {missed very week has to call in to be emptied. Why? if cart is out on timely manner by 6 a.m. & everything in trash/bags. File complaint wants cart emptied every week with-out having to in.,1584 bell rd,37211.0,RED RIVER,4404,31.0,1762228.92507679,623447.229565612,2200
936,2,66995,05/11/18,Trash - Curbside/Alley Missed Pickup,trash miss,2301 foster ave,37210.0,N/A,N/A,16.0,1749049.29149009,651888.208000497,200
937,9,67010,05/11/18,Trash - Curbside/Alley Missed Pickup,missed pick up. Please call Jeannie Smith at (615) 512-3231. She would like to know why she has to call every week for a missed trash pick up.,1701 cedar grove rd,37218.0,RED RIVER,4202,2.0,1719741.92791825,678377.0921301,1600
938,3,67085,05/11/18,Trash - Curbside/Alley Missed Pickup,Trash cart set out on Wednesday night and it's being missed. Thursday pickup and also neighbors. Curb,3712 lausanne dr,37211.0,RED RIVER,4403,4.0,1755081.33168688,622385.126378323,400
939,2,67089,05/11/18,Trash - Curbside/Alley Missed Pickup,The whole alley miss for trash/pickup. Thursday.,1504 linden ave,37212.0,METRO,9403,18.0,1734597.13428873,654247.297842556,200
940,2,67147,05/11/18,Trash - Curbside/Alley Missed Pickup,"This is the 2nd time in a month that my trash has not been picked up. I let it pass the previous time, but I'm tired of this. Last time, they picked up my recycling and left my trash. They picked up my neighbors' trash both times.",3516 lanawood dr,37217.0,RED RIVER,3501,29.0,1788461.14297984,640127.29620823,200
941,2,67321,05/14/18,Trash - Curbside/Alley Missed Pickup,missed pickup; unit b,79 fairfield ave,37210.0,WASTE IND,4507,19.0,1745131.14808514,662531.217500962,200
942,2,67325,05/14/18,Trash - Curbside/Alley Missed Pickup,Curb/Trash miss last Friday. The whole court and others need emptied.,112 towne village ct,37013.0,RED RIVER,3504,33.0,1788992.8793153,632922.938367425,200
943,2,67359,05/14/18,Trash - Curbside/Alley Missed Pickup,Trash/miss last Thursday it's alley pickup. Also others as well.,903 caruthers ave,37204.0,METRO,9403,17.0,1737016.04827258,653165.631082641,200
944,2,67362,05/14/18,Trash - Curbside/Alley Missed Pickup,cart stays on alley he drove past didn't stop,903 caruthers ave,37204.0,METRO,9403,17.0,1737014.98244619,653165.222772849,200
945,2,67404,05/14/18,Trash - Curbside/Alley Missed Pickup,missed pickup,3900 e ridge dr,37211.0,RED RIVER,3405,30.0,1762043.31124074,632724.957112701,200
946,3,67408,05/14/18,Trash - Curbside/Alley Missed Pickup,carts still on alley,2408 albion st,37208.0,METRO,9303,21.0,1728496.74535183,667993.698045647,400
947,3,67432,05/14/18,Trash - Curbside/Alley Missed Pickup,If we could have it picked up as soon as you get the chance as it's full and we have new trash we need to put in. Thank you!,1807 lillian st,37206.0,METRO,9508,6.0,1750666.7358718,670185.701868911,400
948,2,67481,05/14/18,Trash - Curbside/Alley Missed Pickup,others missed in area,"716 benson st, nashville, tn 37206, united states",37206.0,METRO,9503,6.0,1750257.56050543,674527.945311543,200
949,5,67672,05/15/18,Trash - Curbside/Alley Missed Pickup,Missed- trash last 2 weeks- customer has to call in all the time. please pickup,1425 shelby ave,37206.0,METRO,9508,6.0,1748449.45741956,669717.656135816,800
950,5,67673,05/15/18,Trash - Curbside/Alley Missed Pickup,missed pickup. On dead end,5927 carl pl,37209.0,RED RIVER,4203,20.0,1714258.55837174,665897.867854629,800
951,2,67809,05/15/18,Trash - Curbside/Alley Missed Pickup,cart still out,4911 tanglewood dr n,37216.0,RED RIVER,2203,7.0,1757225.06135757,693503.333142538,200
952,3,67812,05/15/18,Trash - Curbside/Alley Missed Pickup,Missed. Entire street was missed.,1400 montgomery ave,37207.0,METRO,9203,5.0,1745477.34745072,678894.966952163,400
953,2,67822,05/15/18,Trash - Curbside/Alley Missed Pickup,Our cart was missed in the alley in today's pickup. It appears other carts near us were picked up.,1122 n 7th st,37207.0,METRO,9203,5.0,1744290.7335424,677344.10146573,200
954,2,67824,05/15/18,Trash - Curbside/Alley Missed Pickup,Everyone else?s trash was picked up; looks like ours was just missed,1817 5th ave n b,37208.0,WASTE IND,3207,19.0,1733896.31325592,674935.407745901,200
955,2,67830,05/15/18,Trash - Curbside/Alley Missed Pickup,Every trash can on our entire street was missed,304 shoppe ct,37013.0,RED RIVER,3504,33.0,1789365.41996694,633259.979937561,200
956,2,67861,05/16/18,Trash - Curbside/Alley Missed Pickup,several missed,3109 lincoln ave,37218.0,RED RIVER,4204,2.0,1724451.74615815,680499.370389335,200
957,3,67897,05/16/18,Trash - Curbside/Alley Missed Pickup,missed pick up,2509 east ln,37218.0,RED RIVER,4204,2.0,1724649.93124333,681035.301942148,400
958,7,67900,05/16/18,Trash - Curbside/Alley Missed Pickup,trash missed pick up,4500 clarksville pike,37218.0,RED RIVER,3203,1.0,1722469.0645171,690556.788807854,1200
959,5,67908,05/16/18,Trash - Curbside/Alley Missed Pickup,missed pick up - wants picked up today !,1821 ed temple blvd,37208.0,METRO,9201,21.0,1725079.94340229,674163.223777835,800
960,2,67927,05/16/18,Trash - Curbside/Alley Missed Pickup,Missed,608 troy ct,37207.0,WASTE IND,2206,2.0,1733985.86195854,686714.151916496,200
961,2,67962,05/16/18,Trash - Curbside/Alley Missed Pickup,several missed,2312 alpine ave,37218.0,RED RIVER,4204,2.0,1724318.73252259,680645.702130312,200
962,2,68019,05/16/18,Trash - Curbside/Alley Missed Pickup,Missed. Overflowing.trash is falling out of truck and he only gets one cart she has to call and lean her yard,1214 baptist world center dr,37207.0,RED RIVER,3202,2.0,1738488.67149987,678370.94846787,200
963,3,68048,05/16/18,Trash - Curbside/Alley Missed Pickup,"Two weeks in a row trash has been missed, curbside. Wednesday. RT#3304.",4016 estes rd,37215.0,RED RIVER,3304,34.0,1721010.13104219,646041.196828539,400
964,2,68167,05/16/18,Trash - Curbside/Alley Missed Pickup,We only picked up one of her carts. Wants other cart picked up.,403 woodmont hall pl,37205.0,RED RIVER,2303,24.0,1720947.75969578,650342.332287427,200
965,3,68168,05/16/18,Trash - Curbside/Alley Missed Pickup,Missed.,933 glendale ln b,37204.0,RED RIVER,3302,25.0,1735697.93963914,641210.1342712,400
966,2,68180,05/16/18,Trash - Curbside/Alley Missed Pickup,Missed.,3635 woodmont blvd,37215.0,RED RIVER,2303,25.0,1722845.13108399,649888.09797872,200
967,3,68186,05/16/18,Trash - Curbside/Alley Missed Pickup,picked up everyone except her cart,5206 tennessee ave,37209.0,METRO,9302,20.0,1717291.92355491,666410.124381936,400
968,3,68188,05/16/18,Trash - Curbside/Alley Missed Pickup,4603 A LEALAND LN CART STILL OUT,4603 lealand ln,37220.0,RED RIVER,3302,34.0,1734632.84014677,639445.466607659,400
969,2,68190,05/16/18,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,1712 sweetbriar ave b,37212.0,METRO,9308,18.0,1733020.80551393,653240.529074942,200
970,3,68198,05/16/18,Trash - Curbside/Alley Missed Pickup,Our entire street was skipped today for trash pick up,912 buford pl,37204.0,RED RIVER,3302,25.0,1735970.76892318,645121.952560369,400
971,3,68200,05/16/18,Trash - Curbside/Alley Missed Pickup,Sorry- I am following up on my previous request.  They just came and picked up the trash on our block.,912 buford pl,37204.0,N/A,N/A,25.0,1735969.7468301,645120.99826296,400
972,6,68203,05/16/18,Trash - Curbside/Alley Missed Pickup,Your crew skips the alley about half the time.,2207 hermosa st,37208.0,METRO,9303,21.0,1729107.53478773,667051.401204556,1000
973,2,68215,05/17/18,Trash - Curbside/Alley Missed Pickup,Missed pickup.  Bagged trash is very smelly because of cut chicken meat.  Will not make it to next pickup.,407 page rd,37205.0,RED RIVER,1302,34.0,1711676.32946901,639872.09549714,200
974,3,68291,05/17/18,Trash - Curbside/Alley Missed Pickup,Alley Trash miss again Wednesday. Wants to speak with higher up has other issues as well with trash/pickup. Trash/ALLEY needs to be emptied and not have to call in every time. Call him back.,3500 park ave,37209.0,WASTE IND,3306,24.0,1724593.13888214,662994.682286463,400
975,6,68318,05/17/18,Trash - Curbside/Alley Missed Pickup,Trash Missed- Per previous tickets this customer doesn't have alley access it is pickup on the side per Josh Mangrum,5411 california ave,37209.0,METRO,9302,20.0,1716347.5656616,667455.058088357,1000
976,5,68433,05/17/18,Trash - Curbside/Alley Missed Pickup,"Curb trash/keeps getting missed, Thursday pick up.",15409 old hickory blvd,37211.0,RED RIVER,4402,4.0,1752558.25814727,621439.156738499,800
977,4,68494,05/17/18,Trash - Curbside/Alley Missed Pickup,Missed entire alley - missed.,2205 hermosa st,37208.0,METRO,9303,21.0,1729161.71890574,667055.646534243,600
978,2,68533,05/17/18,Trash - Curbside/Alley Missed Pickup,Missed- trash,1400 ashwood ave,37212.0,METRO,9401,18.0,1734743.99579169,654634.499398278,200
979,2,68563,05/18/18,Trash - Curbside/Alley Missed Pickup,missed entire side of street,2924 harlin dr,37211.0,METRO,9408,16.0,1747374.98154362,647299.486894281,200
980,2,68564,05/18/18,Trash - Curbside/Alley Missed Pickup,missed trash - others missed in area,2924 harlin dr,37211.0,METRO,9408,16.0,1747373.93475597,647297.6968941,200
981,2,68610,05/18/18,Trash - Curbside/Alley Missed Pickup,Missed for 2 weeks in a row,918 15th ave s,37212.0,METRO,9407,19.0,1735272.36198878,660991.056452929,200
982,2,68631,05/18/18,Trash - Curbside/Alley Missed Pickup,missed pick up,1600 8th ave s,37203.0,WASTE IND,2408,17.0,1738612.48341571,657582.882835115,200
983,12,68661,05/18/18,Trash - Curbside/Alley Missed Pickup,Two trash/carts needs to be empty. Curb {missed very week has to call in to be emptied. Why? if cart is out on timely manner by 6 a.m. & everything in trash/bags. File complaint wants cart emptied every week with-out having to in.,1584 bell rd,37211.0,RED RIVER,4404,31.0,1762227.53766987,623447.292903914,2200
984,5,68718,05/18/18,Trash - Curbside/Alley Missed Pickup,cat still out,30 twin oaks dr,37211.0,RED RIVER,4303,16.0,1756315.14069762,645219.972407442,800
985,3,68721,05/18/18,Trash - Curbside/Alley Missed Pickup,"has not been picked up in 2 weeks, needs picked up ASAP {Town Down} pickup Bonding Business.",600 4th ave n,37219.0,METRO,N/A,19.0,1737666.85997872,669323.617131124,400
986,3,68746,05/18/18,Trash - Curbside/Alley Missed Pickup,missed,3318 trevor st,37209.0,METRO,9303,21.0,1724599.77568352,663941.079183036,400
987,2,68799,05/18/18,Trash - Curbside/Alley Missed Pickup,"Missed- trash
cw 997083 closed out & not picked up",1400 ashwood ave,37212.0,METRO,9401,18.0,1734743.88393207,654636.035476433,200
988,2,68801,05/18/18,Trash - Curbside/Alley Missed Pickup,Missed.-trash,3005 woodymore pl,37013.0,RED RIVER,3502,29.0,1788153.28081773,635250.698003986,200
989,11,68952,05/21/18,Trash - Curbside/Alley Missed Pickup,the street was missed,2731 murfreesboro pike,37013.0,RED RIVER,4502,32.0,1781137.26293528,632448.551143857,2000
